"SHORT_URI","value"
UBERON_0004122,"genitourinary system"
UBERON_0002416,"integumental system"
UBERON_0002204,"musculoskeletal system"
UBERON_0004535,"cardiovascular system"
UBERON_0001017,"central nervous system"
UBERON_0001004,"respiratory system"
UBERON_0001007,"digestive system"
UBERON_0000010,"peripheral nervous system"
UBERON_0000949,"endocrine system"
UBERON_0002390,"hematopoietic system"
UBERON_0001032,"sensory system"
UBERON_0002330,"exocrine system"
UBERON_0005292,"extraembryonic tissue"
UBERON_0000990,"reproductive system"
UBERON_0002423,"hepatobiliary system"
UBERON_0000033,"head"
UBERON_2001371,"pancreatic system"
