CL_2000020;inner cell mass native cell
CL_2000021;sebaceous gland native cell
CL_0000317;sebum secreting cell
CL_0002140;acinar cell of sebaceous gland
CL_2000022;cardiac septum native cell
CL_1000361;transitional myocyte of interatrial septum
CL_1000362;transitional myocyte of interventricular septum
CL_1000376;Purkinje myocyte of interventricular septum
CL_1000410;myocyte of atrioventricular node
CL_1000479;Purkinje myocyte of atrioventricular node
CL_1000482;myocardial endocrine cell of interventricular septum
CL_2000030;hypothalamus native cell
CL_0002371;somatic cell
CL_0000988;hematopoietic cell
CL_0000738;leukocyte
CL_0000451;dendritic cell
CL_2000055;liver dendritic cell
CL_0000990;conventional dendritic cell
CL_0000453;Langerhans cell
CL_0002457;epidermal Langerhans cell
CL_0000782;myeloid dendritic cell
CL_0000840;immature conventional dendritic cell
CL_0000841;mature conventional dendritic cell
CL_0000941;thymic conventional dendritic cell
CL_0002059;CD8alpha-positive thymic conventional dendritic cell
CL_0002460;CD8alpha-negative thymic conventional dendritic cell
CL_0002465;CD11b-positive dendritic cell
CL_0002454;Cd4-negative, CD8_alpha-negative, CD11b-positive dendritic cell
CL_0002462;adipose dendritic cell
CL_0002463;SIRPa-positive adipose dendritic cell
CL_0002464;SIRPa-negative adipose dendritic cell
CL_0002507;langerin-positive lymph node dendritic cell
CL_2000074;splenocyte
CL_0000871;splenic macrophage
CL_0000766;myeloid leukocyte
CL_0000576;monocyte
CL_0000860;classical monocyte
CL_0002395;Gr1-high classical monocyte
CL_0002469;MHC-II-negative classical monocyte
CL_0002474;lymphoid MHC-II-negative classical monocyte
CL_0002475;lymphoid MHC-II-negative non-classical monocyte
CL_0002470;MHC-II-positive classical monocyte
CL_0002393;intermediate monocyte
CL_0001055;CD14-positive, CD16-low monocyte
CL_0002398;Gr1-positive, CD43-positive monocyte
CL_0002058;Gr1-low non-classical monocyte
CL_0002471;MHC-II-negative non-classical monocyte
CL_0002472;MHC-II-low non-classical monocyte
CL_0002473;MHC-II-high non-classical monocyte
CL_0000875;non-classical monocyte
CL_0002396;CD14-low, CD16-positive monocyte
CL_0001022;CD115-positive monocyte
CL_0001054;CD14-positive monocyte
CL_0002397;CD14-positive, CD16-positive monocyte
CL_0000092;osteoclast
CL_0000588;odontoclast
CL_0000781;mononuclear odontoclast
CL_0000780;multinuclear odontoclast
CL_0000778;mononuclear osteoclast
CL_0000779;multinuclear osteoclast
CL_0000094;granulocyte
CL_0000767;basophil
CL_0000768;immature basophil
CL_0000614;basophilic myelocyte
CL_0000769;basophilic metamyelocyte
CL_0000771;eosinophil
CL_0000772;immature eosinophil
CL_0000612;eosinophilic myelocyte
CL_0000773;eosinophilic metamyelocyte
CL_0000775;neutrophil
CL_0000776;immature neutrophil
CL_0000580;neutrophilic myelocyte
CL_0000582;neutrophilic metamyelocyte
CL_0000097;mast cell
CL_0000484;connective tissue type mast cell
CL_0000235;macrophage
CL_0000864;tissue-resident macrophage
CL_0000091;Kupffer cell
CL_0000581;peritoneal macrophage
CL_0000583;alveolar macrophage
CL_0000867;secondary lymphoid organ macrophage
CL_0000868;lymph node macrophage
CL_0000884;mucosa-associated lymphoid tissue macrophage
CL_0000878;central nervous system macrophage
CL_0000129;microglial cell
CL_0000881;perivascular macrophage
CL_0002247;pleural macrophage
CL_0002476;bone marrow macrophage
CL_0002477;adipose macrophage
CL_0002478;F4/80-negative adipose macrophage
CL_0002479;F4/80-positive adipose macrophage
CL_0000861;elicited macrophage
CL_0000862;suppressor macrophage
CL_0002150;epithelioid macrophage
CL_1001603;lung macrophage
CL_0000647;multinucleated giant cell
CL_0000889;myeloid suppressor cell
CL_0002467;Gr1-high myeloid suppressor cell
CL_0002468;Gr1-low myeloid suppressor cell
CL_0002087;nongranular leukocyte
CL_0000842;mononuclear cell
CL_2000085;mononuclear cell of umbilical cord
CL_2000001;peripheral blood mononuclear cell
CL_0010004;mononuclear cell of bone marrow
CL_0000542;lymphocyte
CL_0000084;T cell
CL_0000789;alpha-beta T cell
CL_0000791;mature alpha-beta T cell
CL_0000624;CD4-positive, alpha-beta T cell
CL_0000896;activated CD4-positive, alpha-beta T cell
CL_0000492;CD4-positive helper T cell
CL_0000545;T-helper 1 cell
CL_0000546;T-helper 2 cell
CL_0000792;CD4-positive, CD25-positive, alpha-beta regulatory T cell
CL_0002436;mature CD4 single-positive thymocyte
CL_0000895;naive thymus-derived CD4-positive, alpha-beta T cell
CL_0000897;CD4-positive, alpha-beta memory T cell
CL_0000904;central memory CD4-positive, alpha-beta T cell
CL_0000905;effector memory CD4-positive, alpha-beta T cell
CL_0000934;CD4-positive, alpha-beta cytotoxic T cell
CL_0001044;effector CD4-positive, alpha-beta T cell
CL_0001051;CD4-positive, CXCR3-negative, CCR6-negative, alpha-beta T cell
CL_0000625;CD8-positive, alpha-beta T cell
CL_0000906;activated CD8-positive, alpha-beta T cell
CL_0000794;CD8-positive, alpha-beta cytotoxic T cell
CL_0000795;CD8-positive, alpha-beta regulatory T cell
CL_0002437;mature CD8 single-positive thymocyte
CL_0000900;naive thymus-derived CD8-positive, alpha-beta T cell
CL_0000909;CD8-positive, alpha-beta memory T cell
CL_0000907;central memory CD8-positive, alpha-beta T cell
CL_0000913;effector memory CD8-positive, alpha-beta T cell
