UBERON_0001726;papilla of tongue
UBERON_0002467;filiform papilla
UBERON_0014389;gustatory papilla of tongue
UBERON_0000396;vallate papilla
UBERON_0002448;fungiform papilla
UBERON_0002468;foliate papilla
UBERON_0014451;tongue taste bud
UBERON_0019206;tongue papilla epithelium
UBERON_0034944;zone of organ
UBERON_0001560;neck of organ
UBERON_0018664;neck of bone element
UBERON_0018667;neck of scapula
UBERON_0018673;neck of fibula
UBERON_4200172;neck of humerus
UBERON_0000199;neck of radius
UBERON_0007119;neck of femur
UBERON_0003253;neck of rib
UBERON_0004659;mandible neck
UBERON_0005355;malleus neck
UBERON_0015180;neck of talus
UBERON_0035267;neck of gallbladder
UBERON_0000002;uterine cervix
UBERON_0035962;supravaginal part of cervix
UBERON_0036262;uterine ligament
UBERON_0000458;endocervix
UBERON_0004801;cervix epithelium
UBERON_0006922;cervix squamous epithelium
UBERON_0012250;cervix glandular epithelium
UBERON_0012251;ectocervical epithelium
UBERON_0012253;cervical squamo-columnar junction
UBERON_0012248;cervical mucosa
UBERON_0012249;ectocervix
UBERON_0013758;cervical os
UBERON_0013761;cervical cavity
UBERON_0001258;neck of urinary bladder
UBERON_0004230;urinary bladder neck smooth muscle
UBERON_0004945;submucosa of neck of urinary bladder
UBERON_0005010;mucosa of neck of urinary bladder
UBERON_0015181;neck of tooth
UBERON_0005913;zone of bone organ
UBERON_0006633;coracoid process of scapula
UBERON_0016440;glabella region of bone
UBERON_0004103;alveolar ridge
UBERON_0034898;alveolar ridge of premaxilla
UBERON_0004528;alveolar ridge of mandible
UBERON_0004527;alveolar process of maxilla
UBERON_0003686;tooth socket
UBERON_0001762;turbinate bone
UBERON_0003973;nasal concha of ethmoid bone
UBERON_0005919;supreme nasal concha
UBERON_0005920;superior nasal concha
UBERON_0005921;middle nasal concha
UBERON_0005922;inferior nasal concha
UBERON_0005869;maxillary process of inferior nasal concha
UBERON_0005925;ethmoidal process of inferior nasal concha
UBERON_0014437;iliac crest
UBERON_0018242;palatine bone horizontal plate
UBERON_0003689;sella turcica
UBERON_0035298;tuberculum sellae
UBERON_0006667;pituitary fossa
UBERON_0035849;orbital margin
UBERON_0035848;infraorbital margin
UBERON_0011576;supraorbital ridge
UBERON_0035964;promontory of tympanic cavity
UBERON_0006723;cochlear modiolus
UBERON_0006724;osseus spiral lamina
UBERON_0014624;basis modioli
UBERON_0000401;mandibular ramus
UBERON_0004657;mandible condylar process
