IDENTIFIER,CONCEPT_CODE,DEFINITION,PARENT_IDENTIFIER,value,PUBLIC_ID
UBERON_0036173_HUDECA_0000002,"","","HUDECA_0000002","abductor digiti minimi of hand","organ"
UBERON_0000004_HUDECA_0000002,"","","HUDECA_0000002","nose","organ"
UBERON_0019306_HUDECA_0000002,"","tissue","HUDECA_0000002","nose epithelium","organ"
UBERON_0001997_UBERON_0000065,"","organ part - tissue","UBERON_0000065","olfactory epithelium","organ"
UBERON_0003356_HUDECA_0000002,"","tissue","HUDECA_0000002","epithelium of nasal septum","organ"
UBERON_0003367_HUDECA_0000002,"","tissue","HUDECA_0000002","epithelium of vomeronasal organ","organ"
UBERON_0004692_HUDECA_0000002,"","tissue","HUDECA_0000002","external naris epithelium","organ"
UBERON_0005384_UBERON_0000065,"","organ part - tissue","UBERON_0000065","nasal cavity epithelium","organ"
UBERON_0005385_UBERON_0000065,"","organ part - tissue","UBERON_0000065","nasal cavity respiratory epithelium","organ"
UBERON_0006266_HUDECA_0000002,"","tissue","HUDECA_0000002","nasolacrimal groove","organ"
UBERON_0009671_UBERON_0000065,"","","UBERON_0000065","nasal fin","organ"
UBERON_0019307_HUDECA_0000002,"","tissue","HUDECA_0000002","epithelium of external nose","organ"
UBERON_0001681_UBERON_0004765,"","","UBERON_0004765","nasal bone","organ"
UBERON_0001823_UBERON_0004765,"","tissue","UBERON_0004765","nasal cartilage","organ"
UBERON_0003407_UBERON_0004765,"","tissue","UBERON_0004765","cartilage of nasal septum","organ"
UBERON_0006332_UBERON_0004765,"","tissue","UBERON_0004765","nasal capsule","organ"
UBERON_0007818_UBERON_0004765,"","tissue","UBERON_0004765","major alar cartilage","organ"
UBERON_0007819_UBERON_0004765,"","tissue","UBERON_0004765","minor alar cartilage","organ"
UBERON_0007820_UBERON_0004765,"","tissue","UBERON_0004765","accessory nasal cartilage","organ"
UBERON_0007821_UBERON_0004765,"","tissue","UBERON_0004765","lateral nasal cartilage","organ"
UBERON_0007822_UBERON_0004765,"","tissue","UBERON_0004765","vomeronasal cartilage","organ"
UBERON_0002109_HUDECA_0000002,"","","HUDECA_0000002","pair of nares","organ"
UBERON_0002255_HUDECA_0000002,"","","HUDECA_0000002","vomeronasal organ","organ"
UBERON_0005870_HUDECA_0000002,"","","HUDECA_0000002","olfactory pit","organ"
UBERON_0005928_HUDECA_0000002,"","","HUDECA_0000002","external naris","organ"
UBERON_0006813_HUDECA_0000002,"","","HUDECA_0000002","nasal skeleton","organ"
