IDENTIFIER,CONCEPT_CODE,SHORT_URI,DEFINITION,DESCRIPTORS,PARENTS,PARENT_IDENTIFIER,value,PUBLIC_ID
"getNextPvId(),"","UBERON_0000483","","","","","epithelium","organ"
"getNextPvId(),"","UBERON_0034705","","","","","developing neuroepithelium","organ"
"getNextPvId(),"","UBERON_0034706","","","","","proliferating neuroepithelium","organ"
"getNextPvId(),"","UBERON_0004060","","","","","neural tube ventricular layer","organ"
"getNextPvId(),"","UBERON_0034710","","","","","spinal cord ventricular layer","organ"
"getNextPvId(),"","UBERON_0013160","","","UBERON_0000955","","epithalamus ventricular layer","organ"
"getNextPvId(),"","UBERON_0004022","","","","","germinal neuroepithelium","organ"
"getNextPvId(),"","UBERON_0034707","","","","","differentiating neuroepithelium","organ"
"getNextPvId(),"","UBERON_0004061","","","","","neural tube mantle layer","organ"
"getNextPvId(),"","UBERON_0009580","","","","","diencephalon mantle layer","organ"
"getNextPvId(),"","UBERON_0009581","","","","","midbrain mantle layer","organ"
"getNextPvId(),"","UBERON_0009583","","","","","spinal cord mantle layer","organ"
"getNextPvId(),"","UBERON_0013159","","","UBERON_0000955","","epithalamus mantle layer","organ"
"getNextPvId(),"","UBERON_0004064","","","","","neural tube basal plate","organ"
"getNextPvId(),"","UBERON_0005882","","","","","neural tube alar plate","organ"
"getNextPvId(),"","UBERON_0003098","","","UBERON_0000955","","optic stalk","organ"
"getNextPvId(),"","UBERON_0034932","","","","","epithelium of biliary system","organ"
"getNextPvId(),"","UBERON_0010081","","","","","future common hepatic duct","organ"
"getNextPvId(),"","UBERON_0004820","","","","","bile duct epithelium","organ"
"getNextPvId(),"","UBERON_0004822","","","","","extrahepatic bile duct epithelium","organ"
"getNextPvId(),"","UBERON_0004823","","","","","intrahepatic bile duct epithelium","organ"
"getNextPvId(),"","UBERON_0035036","","","","","naris epithelium","organ"
"getNextPvId(),"","UBERON_0006799","","","","","glandular epithelium","organ"
"getNextPvId(),"","UBERON_0006929","","","","","glandular columnar epithelium","organ"
"getNextPvId(),"","UBERON_0006924","","","","","stomach glandular epithelium","organ"
"getNextPvId(),"","UBERON_0000325","","","","","gastric gland","organ"
"getNextPvId(),"","UBERON_0010038","","","","","fundic gastric gland","organ"
"getNextPvId(),"","UBERON_0008859","","","","","cardiac gastric gland","organ"
"getNextPvId(),"","UBERON_0008861","","","","","pyloric gastric gland","organ"
"getNextPvId(),"","UBERON_0009971","","","","","principal gastric gland","organ"
"getNextPvId(),"","UBERON_0012276","","","UBERON_0000995","","endometrium glandular epithelium","organ"
"getNextPvId(),"","UBERON_0011197","","","","","parathyroid epithelium","organ"
"getNextPvId(),"","UBERON_0011195","","","","","inferior parathyroid epithelium","organ"
"getNextPvId(),"","UBERON_0011196","","","","","superior parathyroid epithelium","organ"
"getNextPvId(),"","UBERON_0012250","","","UBERON_0000995","","cervix glandular epithelium","organ"
"getNextPvId(),"","UBERON_0006930","","","","","glandular cuboidal epithelium","organ"
"getNextPvId(),"","UBERON_0000490","","","","","unilaminar epithelium","organ"
"getNextPvId(),"","UBERON_0003258","","","","","endoderm of foregut","organ"
"getNextPvId(),"","UBERON_0007690","","","","","early pharyngeal endoderm","organ"
"getNextPvId(),"","UBERON_0010023","","","","","dorsal part of pharyngeal pouch 2","organ"
"getNextPvId(),"","UBERON_0004117","","","","","pharyngeal pouch","organ"
"getNextPvId(),"","UBERON_0007123","","","","","pharyngeal pouch 2","organ"
"getNextPvId(),"","UBERON_0007122","","","","","pharyngeal pouch 1","organ"
"getNextPvId(),"","UBERON_0007124","","","","","pharyngeal pouch 3","organ"
"getNextPvId(),"","UBERON_0007125","","","","","pharyngeal pouch 4","organ"
"getNextPvId(),"","UBERON_0013156","","","","","1st arch mandibular endoderm","organ"
"getNextPvId(),"","UBERON_0022361","","","","","lung field","organ"
"getNextPvId(),"","UBERON_0008947","","","UBERON_0000065","","respiratory primordium","organ"
"getNextPvId(),"","UBERON_0036072","","","","","respiratory primordium epithelium","organ"
"getNextPvId(),"","UBERON_0036073","","","","","respiratory primordium mesenchyme","organ"
"getNextPvId(),"","UBERON_0005597","","","UBERON_0002048","","lung primordium","organ"
"getNextPvId(),"","UBERON_0012172","","","UBERON_0000945","","stomach primordium","organ"
"getNextPvId(),"","UBERON_0000076","","","","","external ectoderm","organ"
"getNextPvId(),"","UBERON_0005216","","","","","optic eminence surface ectoderm","organ"
"getNextPvId(),"","UBERON_0003050","","","","","olfactory placode","organ"
"getNextPvId(),"","UBERON_0003371","","","","","pelvic appendage bud ectoderm","organ"
"getNextPvId(),"","UBERON_0003372","","","","","pectoral appendage bud ectoderm","organ"
"getNextPvId(),"","UBERON_0005311","","","","","mammary placode","organ"
"getNextPvId(),"","UBERON_0006266","","","","","nasolacrimal groove","organ"
"getNextPvId(),"","UBERON_0009206","","","","","lateral nasal process surface ectoderm","organ"
"getNextPvId(),"","UBERON_0012313","","","","","1st arch maxillary ectoderm","organ"
"getNextPvId(),"","UBERON_0016545","","","","","pharyngeal ectoderm","organ"
"getNextPvId(),"","UBERON_0004345","","","","","trophectoderm","organ"
