UBERON_0000483;epithelium
UBERON_0034705;developing neuroepithelium
UBERON_0034706;proliferating neuroepithelium
UBERON_0004060;neural tube ventricular layer
UBERON_0034710;spinal cord ventricular layer
UBERON_0013160;epithalamus ventricular layer
UBERON_0004022;germinal neuroepithelium
UBERON_0034707;differentiating neuroepithelium
UBERON_0004061;neural tube mantle layer
UBERON_0009580;diencephalon mantle layer
UBERON_0009581;midbrain mantle layer
UBERON_0010285;midbrain basal plate
UBERON_0009583;spinal cord mantle layer
UBERON_0013159;epithalamus mantle layer
UBERON_0004064;neural tube basal plate
UBERON_0005239;basal plate metencephalon
UBERON_0005882;neural tube alar plate
UBERON_0004063;spinal cord alar plate
UBERON_0003098;optic stalk
UBERON_0002270;hyaloid artery
UBERON_0034932;epithelium of biliary system
UBERON_0010081;future common hepatic duct
UBERON_0004820;bile duct epithelium
UBERON_0004822;extrahepatic bile duct epithelium
UBERON_0004823;intrahepatic bile duct epithelium
CL_0002538;intrahepatic bile duct epithelial cell
UBERON_0035036;naris epithelium
UBERON_0004692;external naris epithelium
UBERON_0006799;glandular epithelium
UBERON_0006929;glandular columnar epithelium
UBERON_0006924;stomach glandular epithelium
UBERON_0000325;gastric gland
UBERON_0010038;fundic gastric gland
UBERON_0008859;cardiac gastric gland
UBERON_0008861;pyloric gastric gland
UBERON_0009971;principal gastric gland
CL_1000315;principal gastric gland goblet cell
CL_0002181;mucus neck cell of gastric gland
CL_0002183;stem cell of gastric gland
UBERON_0012276;endometrium glandular epithelium
UBERON_0002451;endometrial gland
UBERON_0012247;cervical gland
UBERON_0011197;parathyroid epithelium
UBERON_0011195;inferior parathyroid epithelium
UBERON_0011196;superior parathyroid epithelium
CL_1001593;parathyroid glandular cell
CL_0002260;epithelial cell of parathyroid gland
CL_0000446;chief cell of parathyroid gland
CL_0002141;active chief cell of parathyroid gland
CL_0002143;dark chief cell of parathyroid cell
CL_0002147;clear chief cell of parathyroid cell
CL_0002229;light chief cell of parathyroid gland
CL_0002199;oxyphil cell of parathyroid gland
CL_0002263;transitional cell of parathyroid gland
UBERON_0012250;cervix glandular epithelium
UBERON_0012252;endocervical epithelium
UBERON_0006930;glandular cuboidal epithelium
CL_0000150;glandular epithelial cell
CL_0000160;goblet cell
CL_2000084;conjunctiva goblet cell
CL_0002370;respiratory goblet cell
CL_0002480;nasal mucosa goblet cell
CL_1000312;bronchial goblet cell
CL_1000329;tracheal goblet cell
CL_1000143;lung goblet cell
CL_1000313;gastric goblet cell
CL_1000314;gastric cardiac gland goblet cell
CL_1000323;pylroric gastric gland goblet cell
CL_1000320;large intestine goblet cell
CL_1000321;large intestine crypt goblet cell
CL_1000327;appendix goblet cell
CL_1000322;pancreatic goblet cell
CL_1000495;small intestine goblet cell
CL_1000317;intestinal villus goblet cell
CL_1000324;duodenal goblet cell
CL_1000325;jejunal goblet cell
CL_1000326;ileal goblet cell
CL_0000164;enteroendocrine cell
CL_0000169;type B pancreatic cell
CL_0002067;type A enteroendocrine cell
CL_0000171;pancreatic A cell
CL_0002264;type A cell of stomach
CL_0000502;type D enteroendocrine cell
CL_0000173;pancreatic D cell
CL_0002265;type D cell of colon
CL_0002266;type D cell of small intestine
CL_0002267;type D cell of stomach
CL_0000508;type G enteroendocrine cell
CL_0000577;type EC enteroendocrine cell
CL_0002270;type EC2 enteroendocrine cell
CL_0002271;type EC1 enteroendocrine cell
CL_0002273;type ECL enteroendocrine cell
CL_0000696;PP cell
CL_0002275;pancreatic PP cell
CL_0002680;PP cell of intestine
CL_0002268;P/D1 enteroendocrine cell
CL_0002501;type D1 enteroendocrine cell
CL_0002277;type I enteroendocrine cell
CL_0002278;GIP cell
CL_0002279;type L enteroendocrine cell
CL_0002280;type N enteroendocrine cell
CL_0002281;type S enteroendocrine cell
CL_0002282;type TG enteroendocrine cell
CL_0002284;type X enteroendocrine cell
CL_1001516;intestinal enteroendocrine cell
CL_0002502;type M enteroendocrine cell
CL_0000318;sweat secreting cell
CL_0002142;dark cell of eccrine sweat gland
CL_0002146;clear cell of eccrine sweat gland
CL_0000434;eccrine cell
CL_0000510;paneth cell
CL_0002624;paneth cell of the appendix
CL_1000343;paneth cell of epithelium of small intestine
CL_1000344;paneth cell of epithelium proper of small intestine
CL_1000345;paneth cell of epithelium of crypt of Lieberkuhn of small intestine
CL_0000622;acinar cell
CL_0002064;pancreatic acinar cell
CL_0002140;acinar cell of sebaceous gland
CL_0000637;chromophil cell of anterior pituitary gland
CL_0000638;acidophil cell of pars distalis of adenohypophysis
CL_0002310;mammosomatotroph
CL_0002311;mammotroph
CL_0002312;somatotroph
CL_0000639;basophil cell of pars distalis of adenohypophysis
CL_0000437;gonadtroph
CL_0000476;thyrotroph
CL_0002309;corticotroph
CL_0000651;mucous neck cell
CL_0002257;epithelial cell of thyroid gland
CL_0002200;oxyphil cell of thyroid
CL_0002258;thyroid follicular cell
CL_0002313;endocrine-paracrine cell of prostate gland
CL_0002657;glandular cell of esophagus
CL_0002641;epithelial cell of esophageal gland proper
CL_0002642;epithelial cell of esophageal cardiac gland
CL_0002658;glandular cell of the large intestine
CL_1001588;colon glandular cell
CL_1001585;appendix glandular cell
CL_1001595;rectum glandular cell
CL_0002659;glandular cell of stomach
CL_0000155;peptic cell
CL_0000162;parietal cell
CL_0002180;mucous cell of stomach
CL_0002182;surface mucosal cell of stomach
