adrenal gland;;;;;;;;;;
adrenal gland;chromaffin cell of adrenal gland (CL:1000426);;;;;;;;;
adrenal gland;chromaffin cell of adrenal gland (CL:1000426);adrenal medulla chromaffin cell (CL:0000336);;;;;;;;
adrenal gland;chromaffin cell of adrenal gland (CL:1000426);adrenal medulla chromaffin cell (CL:0000336);type II cell of adrenal medulla (CL:0002082);;;;;;;
adrenal gland;chromaffin cell of adrenal gland (CL:1000426);adrenal medulla chromaffin cell (CL:0000336);type I cell of adrenal medulla (CL:0002083);;;;;;;
adrenal gland;chromaffin cell of adrenal gland (CL:1000426);adrenal cortex chromaffin cell (CL:1000427);;;;;;;;
adrenal gland;adrenal gland glandular cell (CL:1001601);;;;;;;;;
adrenal gland;adrenal gland glandular cell (CL:1001601);cortical cell of adrenal gland (CL:0002097);;;;;;;;
adrenal gland;adrenal gland glandular cell (CL:1001601);cortical cell of adrenal gland (CL:0002097);type I cell of adrenal cortex (CL:0002099);;;;;;;
adrenal gland;adrenal gland glandular cell (CL:1001601);cortical cell of adrenal gland (CL:0002097);type II cell of adrenal cortex (CL:0002136);;;;;;;
adrenal gland;adrenal gland glandular cell (CL:1001601);cortical cell of adrenal gland (CL:0002097);type III cell of adrenal cortex (CL:0002137);;;;;;;
adrenal gland;adrenal gland glandular cell (CL:1001601);adrenal cortex chromaffin cell (CL:1000427);;;;;;;;
brain;;;;;;;;;;
brain;pinealocyte (CL:0000652);;;;;;;;;
brain;choroid plexus epithelial cell (CL:0000706);;;;;;;;;
brain;fibroblast of choroid plexus (CL:0002549);;;;;;;;;
brain;smooth muscle cell of the brain vasculature (CL:0002590);;;;;;;;;
brain;raphe nuclei neuron (CL:0002610);;;;;;;;;
brain;cerebral cortex neuron (CL:0010012);;;;;;;;;
brain;cerebral cortex neuron (CL:0010012);neuron of cerebral cortex (CL:0002609);;;;;;;;
brain;cerebral cortex neuron (CL:0010012);neuron of cerebral cortex (CL:0002609);hippocampal neuron (CL:0002608);;;;;;;
brain;cerebral cortex neuron (CL:0010012);neuron of cerebral cortex (CL:0002609);hippocampal neuron (CL:0002608);hippocampal interneuron (CL:1001569);;;;;;
brain;cerebral cortex neuron (CL:0010012);neuron of cerebral cortex (CL:0002609);hippocampal neuron (CL:0002608);hippocampal pyramidal neuron (CL:1001571);;;;;;
brain;cerebral cortex neuron (CL:0010012);neuron of cerebral cortex (CL:0002609);Meynert cell (CL:2000056);;;;;;;
brain;cerebral cortex neuron (CL:0010012);neuron of cerebral cortex (CL:0002609);Meynert cell (CL:2000056);hippocampal pyramidal neuron (CL:1001571);;;;;;
brain;neuron of the forebrain (CL:0012001);;;;;;;;;
brain;neuron of the forebrain (CL:0012001);neuron of cerebral cortex (CL:0002609);;;;;;;;
brain;neuron of the forebrain (CL:0012001);neuron of cerebral cortex (CL:0002609);hippocampal neuron (CL:0002608);;;;;;;
brain;neuron of the forebrain (CL:0012001);neuron of cerebral cortex (CL:0002609);hippocampal neuron (CL:0002608);hippocampal interneuron (CL:1001569);;;;;;
brain;neuron of the forebrain (CL:0012001);neuron of cerebral cortex (CL:0002609);hippocampal neuron (CL:0002608);hippocampal pyramidal neuron (CL:1001571);;;;;;
brain;neuron of the forebrain (CL:0012001);neuron of cerebral cortex (CL:0002609);Meynert cell (CL:2000056);;;;;;;
brain;neuron of the forebrain (CL:0012001);neuron of cerebral cortex (CL:0002609);Meynert cell (CL:2000056);hippocampal pyramidal neuron (CL:1001571);;;;;;
brain;forebrain neuroblast (CL:1000042);;;;;;;;;
brain;cerebral cortex glial cell (CL:1001579);;;;;;;;;
brain;cerebral cortex glial cell (CL:1001579);astrocyte of the cerebral cortex (CL:0002605);;;;;;;;
brain;cerebral cortex glial cell (CL:1001579);astrocyte of the cerebral cortex (CL:0002605);astrocyte of the hippocampus (CL:0002604);;;;;;;
brain;cerebral cortex glial cell (CL:1001579);hippocampus glial cell (CL:1001580);;;;;;;;
brain;cerebral cortex glial cell (CL:1001579);hippocampus glial cell (CL:1001580);astrocyte of the hippocampus (CL:0002604);;;;;;;
brain;lateral ventricle glial cell (CL:1001581);;;;;;;;;
brain;lateral ventricle neuron (CL:1001582);;;;;;;;;
brain;cerebral cortex endothelial cell (CL:1001602);;;;;;;;;
brain;cerebellar neuron (CL:1001611);;;;;;;;;
brain;cerebellar neuron (CL:1001611);Purkinje cell (CL:0000121);;;;;;;;
brain;cerebellar neuron (CL:1001611);cerebellum glutamatergic neuron (CL:2000028);;;;;;;;
brain;pituitary gland cell (CL:2000004);;;;;;;;;
brain;pituitary gland cell (CL:2000004);chromophil cell of anterior pituitary gland (CL:0000637);;;;;;;;
brain;pituitary gland cell (CL:2000004);chromophil cell of anterior pituitary gland (CL:0000637);acidophil cell of pars distalis of adenohypophysis (CL:0000638);;;;;;;
brain;pituitary gland cell (CL:2000004);chromophil cell of anterior pituitary gland (CL:0000637);acidophil cell of pars distalis of adenohypophysis (CL:0000638);mammosomatotroph (CL:0002310);;;;;;
brain;pituitary gland cell (CL:2000004);chromophil cell of anterior pituitary gland (CL:0000637);acidophil cell of pars distalis of adenohypophysis (CL:0000638);mammotroph (CL:0002311);;;;;;
brain;pituitary gland cell (CL:2000004);chromophil cell of anterior pituitary gland (CL:0000637);acidophil cell of pars distalis of adenohypophysis (CL:0000638);somatotroph (CL:0002312);;;;;;
brain;pituitary gland cell (CL:2000004);chromophil cell of anterior pituitary gland (CL:0000637);basophil cell of pars distalis of adenohypophysis (CL:0000639);;;;;;;
brain;pituitary gland cell (CL:2000004);chromophil cell of anterior pituitary gland (CL:0000637);basophil cell of pars distalis of adenohypophysis (CL:0000639);gonadtroph (CL:0000437);;;;;;
brain;pituitary gland cell (CL:2000004);chromophil cell of anterior pituitary gland (CL:0000637);basophil cell of pars distalis of adenohypophysis (CL:0000639);thyrotroph (CL:0000476);;;;;;
brain;pituitary gland cell (CL:2000004);chromophil cell of anterior pituitary gland (CL:0000637);basophil cell of pars distalis of adenohypophysis (CL:0000639);corticotroph (CL:0002309);;;;;;
brain;pituitary gland cell (CL:2000004);folliculostellate cell of pars distalis of adenohypophysis (CL:0002177);;;;;;;;
brain;brain macroglial cell (CL:2000005);;;;;;;;;
brain;brain macroglial cell (CL:2000005);astrocyte of the cerebellum (CL:0002603);;;;;;;;
brain;brain macroglial cell (CL:2000005);astrocyte of the forebrain (CL:0012000);;;;;;;;
brain;brain macroglial cell (CL:2000005);astrocyte of the forebrain (CL:0012000);astrocyte of the cerebral cortex (CL:0002605);;;;;;;
brain;brain macroglial cell (CL:2000005);astrocyte of the forebrain (CL:0012000);astrocyte of the cerebral cortex (CL:0002605);astrocyte of the hippocampus (CL:0002604);;;;;;
brain;hypothalamus native cell (CL:2000030);;;;;;;;;
brain;brain pericyte (CL:2000043);;;;;;;;;
brain;brainstem motor neuron (CL:2000047);;;;;;;;;
brain;midbrain dopaminergic neuron (CL:2000097);;;;;;;;;
colon;;;;;;;;;;
colon;colon epithelial cell (CL:0011108);;;;;;;;;
colon;colon epithelial cell (CL:0011108);vacuolar absorptive cell of epithelium of colon (CL:1000347);;;;;;;;
colon;colon epithelial cell (CL:0011108);epithelial cell of appendix (CL:1000405);;;;;;;;
colon;colon epithelial cell (CL:0011108);epithelial cell of appendix (CL:1000405);microfold cell of epithelium proper of appendix (CL:1000359);;;;;;;
colon;colon epithelial cell (CL:0011108);epithelial cell of appendix (CL:1000405);appendix glandular cell (CL:1001585);;;;;;;
colon;colon epithelial cell (CL:0011108);epithelial cell of appendix (CL:1000405);appendix glandular cell (CL:1001585);paneth cell of the appendix (CL:0002624);;;;;;
colon;colon epithelial cell (CL:0011108);epithelial cell of appendix (CL:1000405);appendix glandular cell (CL:1001585);appendix goblet cell (CL:1000327);;;;;;
colon;colon epithelial cell (CL:0011108);colon endothelial cell (CL:1001572);;;;;;;;
colon;colon epithelial cell (CL:0011108);colon glandular cell (CL:1001588);;;;;;;;
colon;colon epithelial cell (CL:0011108);colon glandular cell (CL:1001588);type D cell of colon (CL:0002265);;;;;;;
colon;colon epithelial cell (CL:0011108);colon glandular cell (CL:1001588);appendix glandular cell (CL:1001585);;;;;;;
colon;colon epithelial cell (CL:0011108);colon glandular cell (CL:1001588);appendix glandular cell (CL:1001585);paneth cell of the appendix (CL:0002624);;;;;;
colon;colon epithelial cell (CL:0011108);colon glandular cell (CL:1001588);appendix glandular cell (CL:1001585);appendix goblet cell (CL:1000327);;;;;;
colon;smooth muscle cell of colon (CL:1000280);;;;;;;;;
colon;smooth muscle cell of colon (CL:1000280);smooth muscle cell of cecum (CL:1000281);;;;;;;;
colon;smooth muscle cell of colon (CL:1000280);smooth muscle fiber of ascending colon (CL:1000282);;;;;;;;
colon;smooth muscle cell of colon (CL:1000280);smooth muscle fiber of transverse colon (CL:1000283);;;;;;;;
colon;smooth muscle cell of colon (CL:1000280);smooth muscle fiber of descending colon (CL:1000284);;;;;;;;
colon;smooth muscle cell of colon (CL:1000280);smooth muscle cell of sigmoid colon (CL:1000285);;;;;;;;
ear;;;;;;;;;;
ear;auditory hair cell (CL:0000202);;;;;;;;;
ear;auditory hair cell (CL:0000202);cochlear inner hair cell (CL:0000589);;;;;;;;
ear;auditory hair cell (CL:0000202);outer hair cell (CL:0000601);;;;;;;;
ear;auditory hair cell (CL:0000202);macular hair cell (CL:0005008);;;;;;;;
ear;internal epithelial cell of tympanic membrane (CL:0002162);;;;;;;;;
ear;supporting cell of cochlea (CL:0002315);;;;;;;;;
ear;supporting cell of cochlea (CL:0002315);Claudius cell (CL:0000634);;;;;;;;
ear;supporting cell of cochlea (CL:0002315);border cell of cochlea (CL:0002168);;;;;;;;
ear;supporting cell of cochlea (CL:0002315);interdental cell of cochlea (CL:0002172);;;;;;;;
ear;supporting cell of cochlea (CL:0002315);organ of Corti supporting cell (CL:0002490);;;;;;;;
ear;supporting cell of cochlea (CL:0002315);organ of Corti supporting cell (CL:0002490);Hensen cell (CL:0000633);;;;;;;
ear;supporting cell of cochlea (CL:0002315);organ of Corti supporting cell (CL:0002490);phalangeal cell (CL:0002165);;;;;;;
ear;supporting cell of cochlea (CL:0002315);organ of Corti supporting cell (CL:0002490);phalangeal cell (CL:0002165);Deiter's cell (CL:0000635);;;;;;
ear;supporting cell of cochlea (CL:0002315);organ of Corti supporting cell (CL:0002490);phalangeal cell (CL:0002165);inner phalangeal cell (CL:0005015);;;;;;
ear;supporting cell of cochlea (CL:0002315);organ of Corti supporting cell (CL:0002490);pillar cell (CL:1000191);;;;;;;
ear;supporting cell of cochlea (CL:0002315);organ of Corti supporting cell (CL:0002490);pillar cell (CL:1000191);internal pillar cell of cochlea (CL:0002163);;;;;;
ear;supporting cell of cochlea (CL:0002315);organ of Corti supporting cell (CL:0002490);pillar cell (CL:1000191);external pillar cell of cochlea (CL:0002164);;;;;;
ear;supporting cell of vestibular epithelium (CL:0002316);;;;;;;;;
ear;supporting cell of vestibular epithelium (CL:0002316);external supporting cell of vestibular epithelium (CL:0002314);;;;;;;;
ear;supporting cell of vestibular epithelium (CL:0002316);external limiting cell of vestibular epithelium (CL:0002317);;;;;;;;
ear;type 1 vestibular sensory cell of epithelium of macula of utricle of membranous labyrinth (CL:1000379);;;;;;;;;
ear;type 1 vestibular sensory cell of epithelium of macula of saccule of membranous labyrinth (CL:1000380);;;;;;;;;
ear;type 1 vestibular sensory cell of epithelium of crista of ampulla of semicircular duct of membranous labyrinth (CL:1000381);;;;;;;;;
ear;type 2 vestibular sensory cell of epithelium of macula of utricle of membranous labyrinth (CL:1000383);;;;;;;;;
ear;type 2 vestibular sensory cell of epithelium of macula of saccule of membranous labyrinth (CL:1000384);;;;;;;;;
ear;type 2 vestibular sensory cell of epithelium of crista of ampulla of semicircular duct of membranous labyrinth (CL:1000385);;;;;;;;;
ear;epithelial cell of external acoustic meatus (CL:1000434);;;;;;;;;
esophagus;;;;;;;;;;
esophagus;epithelial cell of esophagus (CL:0002252);;;;;;;;;
esophagus;epithelial cell of esophagus (CL:0002252);keratinized squamous cell of esophagus (CL:0002221);;;;;;;;
esophagus;epithelial cell of esophagus (CL:0002252);epithelial cell of stratum corneum of esophageal epithelium (CL:0002654);;;;;;;;
esophagus;epithelial cell of esophagus (CL:0002252);epithelial cell of stratum corneum of esophageal epithelium (CL:0002654);nonkeratinized cell of stratum corneum of esophageal epithelium (CL:0002643);;;;;;;
esophagus;epithelial cell of esophagus (CL:0002252);epithelial cell of stratum spinosum of esophageal epithelium (CL:0002655);;;;;;;;
esophagus;epithelial cell of esophagus (CL:0002252);glandular cell of esophagus (CL:0002657);;;;;;;;
esophagus;epithelial cell of esophagus (CL:0002252);glandular cell of esophagus (CL:0002657);epithelial cell of esophageal gland proper (CL:0002641);;;;;;;
esophagus;epithelial cell of esophagus (CL:0002252);glandular cell of esophagus (CL:0002657);epithelial cell of esophageal cardiac gland (CL:0002642);;;;;;;
esophagus;epithelial cell of esophagus (CL:0002252);ciliated epithelial cell of esophagus (CL:3000000);;;;;;;;
esophagus;smooth muscle cell of the esophagus (CL:0002599);;;;;;;;;
esophagus;epithelial cell of stratum germinativum of esophagus (CL:1000447);;;;;;;;;
eye;;;;;;;;;;
eye;eye photoreceptor cell (CL:0000287);;;;;;;;;
eye;eye photoreceptor cell (CL:0000287);camera-type eye photoreceptor cell (CL:0010009);;;;;;;;
eye;eye photoreceptor cell (CL:0000287);camera-type eye photoreceptor cell (CL:0010009);retinal cone cell (CL:0000573);;;;;;;
eye;eye photoreceptor cell (CL:0000287);camera-type eye photoreceptor cell (CL:0010009);retinal rod cell (CL:0000604);;;;;;;
eye;corneal epithelial cell (CL:0000575);;;;;;;;;
eye;vertebrate lens cell (CL:0002222);;;;;;;;;
eye;vertebrate lens cell (CL:0002222);lens epithelial cell (CL:0002224);;;;;;;;
eye;vertebrate lens cell (CL:0002222);lens epithelial cell (CL:0002224);anterior lens cell (CL:0002223);;;;;;;
eye;vertebrate lens cell (CL:0002222);lens fiber cell (CL:0011004);;;;;;;;
eye;vertebrate lens cell (CL:0002222);lens fiber cell (CL:0011004);secondary lens fiber (CL:0002225);;;;;;;
eye;vertebrate lens cell (CL:0002222);lens fiber cell (CL:0011004);secondary lens fiber (CL:0002225);non-nucleated secondary lens fiber (CL:0002226);;;;;;
eye;vertebrate lens cell (CL:0002222);lens fiber cell (CL:0011004);secondary lens fiber (CL:0002225);nucleated secondary lens fiber (CL:0002227);;;;;;
eye;vertebrate lens cell (CL:0002222);lens fiber cell (CL:0011004);primary lens fiber (CL:0002228);;;;;;;
eye;smooth muscle cell of sphincter of pupil (CL:0002243);;;;;;;;;
eye;keratocyte (CL:0002363);;;;;;;;;
eye;retinal melanocyte (CL:0002485);;;;;;;;;
eye;fibroblast of the conjunctiva (CL:0002550);;;;;;;;;
eye;iris pigment epithelial cell (CL:0002565);;;;;;;;;
eye;retinal cell (CL:0009004);;;;;;;;;
eye;retinal cell (CL:0009004);retinal ganglion cell (CL:0000740);;;;;;;;
eye;retinal cell (CL:0009004);retinal bipolar neuron (CL:0000748);;;;;;;;
eye;retinal cell (CL:0009004);retinal bipolar neuron (CL:0000748);rod bipolar cell (CL:0000751);;;;;;;
eye;retinal cell (CL:0009004);retinal bipolar neuron (CL:0000748);cone retinal bipolar cell (CL:0000752);;;;;;;
eye;retinal cell (CL:0009004);retinal blood vessel endothelial cell (CL:0002585);;;;;;;;
eye;retinal cell (CL:0009004);retinal pigment epithelial cell (CL:0002586);;;;;;;;
eye;retinal cell (CL:0009004);camera-type eye photoreceptor cell (CL:0010009);;;;;;;;
eye;retinal cell (CL:0009004);camera-type eye photoreceptor cell (CL:0010009);retinal cone cell (CL:0000573);;;;;;;
eye;retinal cell (CL:0009004);camera-type eye photoreceptor cell (CL:0010009);retinal rod cell (CL:0000604);;;;;;;
eye;melanocyte of eyelid (CL:1000391);;;;;;;;;
eye;conjunctival epithelial cell (CL:1000432);;;;;;;;;
eye;conjunctival epithelial cell (CL:1000432);conjunctiva goblet cell (CL:2000084);;;;;;;;
eye;epithelial cell of lacrimal canaliculus (CL:1000433);;;;;;;;;
eye;epithelial cell of lacrimal duct (CL:1000435);;;;;;;;;
